,year,month,date,region,precipitation,Season
70,2017,4,2017-04-01T00:00:00,East/Iburasirazuba,107.3256716262605,Long Rain
71,2017,5,2017-05-01T00:00:00,East/Iburasirazuba,127.6450591657924,Long Rain
72,2018,2,2018-02-01T00:00:00,East/Iburasirazuba,46.55141004843,Long Rain
73,2018,3,2018-03-01T00:00:00,East/Iburasirazuba,217.74721355736108,Long Rain
74,2018,4,2018-04-01T00:00:00,East/Iburasirazuba,286.4750442174518,Long Rain
75,2018,5,2018-05-01T00:00:00,East/Iburasirazuba,119.31184713209306,Long Rain
76,2019,2,2019-02-01T00:00:00,East/Iburasirazuba,66.21397792528383,Long Rain
77,2019,3,2019-03-01T00:00:00,East/Iburasirazuba,87.43674990924121,Long Rain
78,2019,4,2019-04-01T00:00:00,East/Iburasirazuba,147.0083580849683,Long Rain
79,2019,5,2019-05-01T00:00:00,East/Iburasirazuba,142.57126997286844,Long Rain
80,2020,2,2020-02-01T00:00:00,East/Iburasirazuba,116.09028362250994,Long Rain
81,2020,3,2020-03-01T00:00:00,East/Iburasirazuba,138.93718068820453,Long Rain
82,2020,4,2020-04-01T00:00:00,East/Iburasirazuba,207.82282643085594,Long Rain
83,2020,5,2020-05-01T00:00:00,East/Iburasirazuba,52.40248701858561,Long Rain
84,2021,2,2021-02-01T00:00:00,East/Iburasirazuba,78.98817818575739,Long Rain
85,2021,3,2021-03-01T00:00:00,East/Iburasirazuba,119.12244231542977,Long Rain
86,2021,4,2021-04-01T00:00:00,East/Iburasirazuba,132.11673216309345,Long Rain
87,2021,5,2021-05-01T00:00:00,East/Iburasirazuba,177.34332634113912,Long Rain
88,2022,2,2022-02-01T00:00:00,East/Iburasirazuba,117.57007342775424,Long Rain
89,2022,3,2022-03-01T00:00:00,East/Iburasirazuba,110.19208529742204,Long Rain
90,2022,4,2022-04-01T00:00:00,East/Iburasirazuba,181.83863242193985,Long Rain
91,2022,5,2022-05-01T00:00:00,East/Iburasirazuba,88.64777907883963,Long Rain
92,2023,2,2023-02-01T00:00:00,East/Iburasirazuba,30.331781467973137,Long Rain
93,2023,3,2023-03-01T00:00:00,East/Iburasirazuba,155.91501619028995,Long Rain
94,2023,4,2023-04-01T00:00:00,East/Iburasirazuba,173.46781715938522,Long Rain
95,2023,5,2023-05-01T00:00:00,East/Iburasirazuba,81.07407573017791,Long Rain
96,2000,2,2000-02-01T00:00:00,east,43.56275582758038,Long Rain
97,2000,3,2000-03-01T00:00:00,east,118.70371131520068,Long Rain
98,2000,4,2000-04-01T00:00:00,east,89.56984059002006,Long Rain
99,2000,5,2000-05-01T00:00:00,east,64.57184523652013,Long Rain
100,2001,2,2001-02-01T00:00:00,east,50.71849033726964,Long Rain
101,2001,3,2001-03-01T00:00:00,east,194.1616708141435,Long Rain
102,2001,4,2001-04-01T00:00:00,east,108.02470672158321,Long Rain
103,2001,5,2001-05-01T00:00:00,east,78.4552170667914,Long Rain
104,2002,2,2002-02-01T00:00:00,east,64.7085639745505,Long Rain
105,2002,3,2002-03-01T00:00:00,east,144.61187471420394,Long Rain
106,2002,4,2002-04-01T00:00:00,east,170.50182084836325,Long Rain
107,2002,5,2002-05-01T00:00:00,east,118.9433896965403,Long Rain
108,2003,2,2003-02-01T00:00:00,east,49.03854033616333,Long Rain
109,2003,3,2003-03-01T00:00:00,east,83.62959639887028,Long Rain
110,2003,4,2003-04-01T00:00:00,east,141.80174914615736,Long Rain
111,2003,5,2003-05-01T00:00:00,east,94.93698373283956,Long Rain
112,2004,2,2004-02-01T00:00:00,east,89.63161818119147,Long Rain
113,2004,3,2004-03-01T00:00:00,east,134.8884039556746,Long Rain
114,2004,4,2004-04-01T00:00:00,east,167.33000945011128,Long Rain
115,2004,5,2004-05-01T00:00:00,east,60.88121808876813,Long Rain
116,2005,2,2005-02-01T00:00:00,east,57.52354192504278,Long Rain
117,2005,3,2005-03-01T00:00:00,east,150.81426239496224,Long Rain
118,2005,4,2005-04-01T00:00:00,east,115.8447997422453,Long Rain
119,2005,5,2005-05-01T00:00:00,east,93.73385718834558,Long Rain
120,2006,2,2006-02-01T00:00:00,east,80.51740293411602,Long Rain
