,Unnamed: 0,year,month,date,region,admin2_name,precipitation,Season,season
62,62,2002,4,2002-04-01T00:00:00,east,Gatsibo,165.09254045456078,Long Rain,Long Rains
63,63,2002,5,2002-05-01T00:00:00,east,Gatsibo,119.87662691393425,Long Rain,Long Rains
64,64,2002,2,2002-02-01T00:00:00,east,Kayonza,60.17151383976395,Long Rain,Long Rains
65,65,2002,3,2002-03-01T00:00:00,east,Kayonza,146.92009499310092,Long Rain,Long Rains
66,66,2002,4,2002-04-01T00:00:00,east,Kayonza,185.71783450834164,Long Rain,Long Rains
67,67,2002,5,2002-05-01T00:00:00,east,Kayonza,105.54525692241204,Long Rain,Long Rains
68,68,2002,2,2002-02-01T00:00:00,east,Kirehe,67.92305025306749,Long Rain,Long Rains
69,69,2002,3,2002-03-01T00:00:00,east,Kirehe,171.22085211012103,Long Rain,Long Rains
70,70,2002,4,2002-04-01T00:00:00,east,Kirehe,201.16196834265943,Long Rain,Long Rains
71,71,2002,5,2002-05-01T00:00:00,east,Kirehe,101.82813090925842,Long Rain,Long Rains
72,72,2002,2,2002-02-01T00:00:00,east,Ngoma,70.69559313375434,Long Rain,Long Rains
73,73,2002,3,2002-03-01T00:00:00,east,Ngoma,165.81727821861972,Long Rain,Long Rains
74,74,2002,4,2002-04-01T00:00:00,east,Ngoma,198.40050293269616,Long Rain,Long Rains
75,75,2002,5,2002-05-01T00:00:00,east,Ngoma,114.0128786213855,Long Rain,Long Rains
76,76,2002,2,2002-02-01T00:00:00,east,Nyagatare,61.85823011340058,Long Rain,Long Rains
77,77,2002,3,2002-03-01T00:00:00,east,Nyagatare,113.48631061683562,Long Rain,Long Rains
78,78,2002,4,2002-04-01T00:00:00,east,Nyagatare,120.93135753432792,Long Rain,Long Rains
79,79,2002,5,2002-05-01T00:00:00,east,Nyagatare,142.92250894928554,Long Rain,Long Rains
80,80,2002,2,2002-02-01T00:00:00,east,Rwamagana,70.31054022851754,Long Rain,Long Rains
81,81,2002,3,2002-03-01T00:00:00,east,Rwamagana,152.48797629306569,Long Rain,Long Rains
82,82,2002,4,2002-04-01T00:00:00,east,Rwamagana,182.7870470237513,Long Rain,Long Rains
83,83,2002,5,2002-05-01T00:00:00,east,Rwamagana,119.92402729400608,Long Rain,Long Rains
84,84,2003,2,2003-02-01T00:00:00,east,Bugesera,59.15930387815922,Long Rain,Long Rains
85,85,2003,3,2003-03-01T00:00:00,east,Bugesera,80.14379206717669,Long Rain,Long Rains
86,86,2003,4,2003-04-01T00:00:00,east,Bugesera,148.24111076290757,Long Rain,Long Rains
87,87,2003,5,2003-05-01T00:00:00,east,Bugesera,75.33477442781445,Long Rain,Long Rains
88,88,2003,2,2003-02-01T00:00:00,east,Gatsibo,49.53241712835569,Long Rain,Long Rains
89,89,2003,3,2003-03-01T00:00:00,east,Gatsibo,87.35161243687803,Long Rain,Long Rains
90,90,2003,4,2003-04-01T00:00:00,east,Gatsibo,147.84261332512722,Long Rain,Long Rains
91,91,2003,5,2003-05-01T00:00:00,east,Gatsibo,102.10127362490256,Long Rain,Long Rains
92,92,2003,2,2003-02-01T00:00:00,east,Kayonza,43.84939609225987,Long Rain,Long Rains
93,93,2003,3,2003-03-01T00:00:00,east,Kayonza,81.14370198739775,Long Rain,Long Rains
94,94,2003,4,2003-04-01T00:00:00,east,Kayonza,134.08269604560755,Long Rain,Long Rains
95,95,2003,5,2003-05-01T00:00:00,east,Kayonza,93.5130925898592,Long Rain,Long Rains
96,96,2003,2,2003-02-01T00:00:00,east,Kirehe,53.86561856652483,Long Rain,Long Rains
97,97,2003,3,2003-03-01T00:00:00,east,Kirehe,78.24563490953955,Long Rain,Long Rains
98,98,2003,4,2003-04-01T00:00:00,east,Kirehe,141.7234108274954,Long Rain,Long Rains
99,99,2003,5,2003-05-01T00:00:00,east,Kirehe,90.21068076812682,Long Rain,Long Rains
100,100,2003,2,2003-02-01T00:00:00,east,Ngoma,56.37266406474736,Long Rain,Long Rains
101,101,2003,3,2003-03-01T00:00:00,east,Ngoma,81.90667108824445,Long Rain,Long Rains
102,102,2003,4,2003-04-01T00:00:00,east,Ngoma,142.56553574581005,Long Rain,Long Rains
103,103,2003,5,2003-05-01T00:00:00,east,Ngoma,85.70161247515559,Long Rain,Long Rains
104,104,2003,2,2003-02-01T00:00:00,east,Nyagatare,38.65170570533976,Long Rain,Long Rains
105,105,2003,3,2003-03-01T00:00:00,east,Nyagatare,88.25897336087473,Long Rain,Long Rains
106,106,2003,4,2003-04-01T00:00:00,east,Nyagatare,138.44647091887137,Long Rain,Long Rains
107,107,2003,5,2003-05-01T00:00:00,east,Nyagatare,109.74064627776283,Long Rain,Long Rains
108,108,2003,2,2003-02-01T00:00:00,east,Rwamagana,54.97963614192129,Long Rain,Long Rains
109,109,2003,3,2003-03-01T00:00:00,east,Rwamagana,87.15958474095737,Long Rain,Long Rains
110,110,2003,4,2003-04-01T00:00:00,east,Rwamagana,146.06579980702406,Long Rain,Long Rains
