,year,month,date,region,precipitation,Season
63,2015,6,2015-06-01T00:00:00,Western and Rift Valley,55.91251877971792,Long Rain
64,2016,3,2016-03-01T00:00:00,Western and Rift Valley,50.629765324971,Long Rain
65,2016,4,2016-04-01T00:00:00,Western and Rift Valley,170.61903497003013,Long Rain
66,2016,5,2016-05-01T00:00:00,Western and Rift Valley,92.69523125497783,Long Rain
67,2016,6,2016-06-01T00:00:00,Western and Rift Valley,47.5968910848065,Long Rain
68,2017,3,2017-03-01T00:00:00,Western and Rift Valley,38.38358345904085,Long Rain
69,2017,4,2017-04-01T00:00:00,Western and Rift Valley,67.63856688158195,Long Rain
70,2017,5,2017-05-01T00:00:00,Western and Rift Valley,79.08708845278304,Long Rain
71,2017,6,2017-06-01T00:00:00,Western and Rift Valley,35.28833115860778,Long Rain
72,2018,3,2018-03-01T00:00:00,Western and Rift Valley,168.9042978194114,Long Rain
73,2018,4,2018-04-01T00:00:00,Western and Rift Valley,257.4955054123462,Long Rain
74,2018,5,2018-05-01T00:00:00,Western and Rift Valley,150.3551856933874,Long Rain
75,2018,6,2018-06-01T00:00:00,Western and Rift Valley,95.44349567889176,Long Rain
76,2019,3,2019-03-01T00:00:00,Western and Rift Valley,37.91051424764342,Long Rain
77,2019,4,2019-04-01T00:00:00,Western and Rift Valley,98.70043121202119,Long Rain
78,2019,5,2019-05-01T00:00:00,Western and Rift Valley,58.96139930754389,Long Rain
79,2019,6,2019-06-01T00:00:00,Western and Rift Valley,83.49834228052147,Long Rain
80,2020,3,2020-03-01T00:00:00,Western and Rift Valley,171.33830070520705,Long Rain
81,2020,4,2020-04-01T00:00:00,Western and Rift Valley,199.9260032048471,Long Rain
82,2020,5,2020-05-01T00:00:00,Western and Rift Valley,84.70628154990804,Long Rain
83,2020,6,2020-06-01T00:00:00,Western and Rift Valley,85.03448974341734,Long Rain
84,2021,3,2021-03-01T00:00:00,Western and Rift Valley,40.64522427678196,Long Rain
85,2021,4,2021-04-01T00:00:00,Western and Rift Valley,99.91909423679904,Long Rain
86,2021,5,2021-05-01T00:00:00,Western and Rift Valley,129.83521581123645,Long Rain
87,2021,6,2021-06-01T00:00:00,Western and Rift Valley,34.635257540587226,Long Rain
88,2022,3,2022-03-01T00:00:00,Western and Rift Valley,43.124077850715494,Long Rain
89,2022,4,2022-04-01T00:00:00,Western and Rift Valley,106.98552575756571,Long Rain
90,2022,5,2022-05-01T00:00:00,Western and Rift Valley,74.90662124978167,Long Rain
91,2022,6,2022-06-01T00:00:00,Western and Rift Valley,32.12382632307932,Long Rain
92,2023,3,2023-03-01T00:00:00,Western and Rift Valley,109.8915233098319,Long Rain
93,2023,4,2023-04-01T00:00:00,Western and Rift Valley,164.01101187028073,Long Rain
94,2023,5,2023-05-01T00:00:00,Western and Rift Valley,65.29806657072614,Long Rain
95,2023,6,2023-06-01T00:00:00,Western and Rift Valley,52.721896488098274,Long Rain
0,2000,3,2000-03-01T00:00:00,Eastern and Northern Kenya,13.402780716822623,Long Rain
