,year,month,date,region,admin2_name,precipitation
169,2014,2,2014-02-01T00:00:00,Zambia,Chibombo,172.3823688569268
170,2014,3,2014-03-01T00:00:00,Zambia,Chibombo,77.55073461967909
178,2014,11,2014-11-01T00:00:00,Zambia,Chibombo,47.67287168768544
179,2014,12,2014-12-01T00:00:00,Zambia,Chibombo,242.72750994733732
180,2015,1,2015-01-01T00:00:00,Zambia,Chibombo,219.71961891965324
181,2015,2,2015-02-01T00:00:00,Zambia,Chibombo,173.4498518345915
182,2015,3,2015-03-01T00:00:00,Zambia,Chibombo,66.96811089822404
190,2015,11,2015-11-01T00:00:00,Zambia,Chibombo,48.85278984820634
191,2015,12,2015-12-01T00:00:00,Zambia,Chibombo,122.19268870349899
192,2016,1,2016-01-01T00:00:00,Zambia,Chibombo,234.50977173227074
193,2016,2,2016-02-01T00:00:00,Zambia,Chibombo,115.68227306457185
194,2016,3,2016-03-01T00:00:00,Zambia,Chibombo,214.5062723444555
202,2016,11,2016-11-01T00:00:00,Zambia,Chibombo,150.59432493077992
203,2016,12,2016-12-01T00:00:00,Zambia,Chibombo,187.0718277190013
204,2017,1,2017-01-01T00:00:00,Zambia,Chibombo,319.4010912050823
205,2017,2,2017-02-01T00:00:00,Zambia,Chibombo,303.9103336062006
206,2017,3,2017-03-01T00:00:00,Zambia,Chibombo,97.04735675867367
214,2017,11,2017-11-01T00:00:00,Zambia,Chibombo,137.64704800885156
215,2017,12,2017-12-01T00:00:00,Zambia,Chibombo,197.79071405781133
216,2018,1,2018-01-01T00:00:00,Zambia,Chibombo,63.960572573316234
217,2018,2,2018-02-01T00:00:00,Zambia,Chibombo,300.2505875778452
218,2018,3,2018-03-01T00:00:00,Zambia,Chibombo,166.76545848088824
226,2018,11,2018-11-01T00:00:00,Zambia,Chibombo,45.81287713901855
227,2018,12,2018-12-01T00:00:00,Zambia,Chibombo,132.60592022465352
228,2019,1,2019-01-01T00:00:00,Zambia,Chibombo,192.830316640602
229,2019,2,2019-02-01T00:00:00,Zambia,Chibombo,129.68702307129544
230,2019,3,2019-03-01T00:00:00,Zambia,Chibombo,46.25129996033079
238,2019,11,2019-11-01T00:00:00,Zambia,Chibombo,81.40767907524479
239,2019,12,2019-12-01T00:00:00,Zambia,Chibombo,59.525259444067295
240,2020,1,2020-01-01T00:00:00,Zambia,Chibombo,260.1719738020713
241,2020,2,2020-02-01T00:00:00,Zambia,Chibombo,238.43766988332445
242,2020,3,2020-03-01T00:00:00,Zambia,Chibombo,47.72556589290691
250,2020,11,2020-11-01T00:00:00,Zambia,Chibombo,65.93166331191647
251,2020,12,2020-12-01T00:00:00,Zambia,Chibombo,314.54053274399485
252,2021,1,2021-01-01T00:00:00,Zambia,Chibombo,267.5070855205379
253,2021,2,2021-02-01T00:00:00,Zambia,Chibombo,230.48135020122828
254,2021,3,2021-03-01T00:00:00,Zambia,Chibombo,124.30449560673952
262,2021,11,2021-11-01T00:00:00,Zambia,Chibombo,62.68329134882409
263,2021,12,2021-12-01T00:00:00,Zambia,Chibombo,100.22700131117921
264,2022,1,2022-01-01T00:00:00,Zambia,Chibombo,431.99419239026076
265,2022,2,2022-02-01T00:00:00,Zambia,Chibombo,92.23364672325566
266,2022,3,2022-03-01T00:00:00,Zambia,Chibombo,75.57837236891672
274,2022,11,2022-11-01T00:00:00,Zambia,Chibombo,107.37349852153417
275,2022,12,2022-12-01T00:00:00,Zambia,Chibombo,145.84098928384225
276,2023,1,2023-01-01T00:00:00,Zambia,Chibombo,337.6196243677613
277,2023,2,2023-02-01T00:00:00,Zambia,Chibombo,180.40538641810625
